Stance,Tweet
1,#rapeculture can be so normalized that we don't notice it in our own language.
-1,mt @karee_news: you can do something try to touch hardened hearts and
0,"today, 1st march 2017, same sex marriage is finally legal in finland!!!"
1,first act by gop congress under trump is shameful attack on women's #reprorights. we must fight to .
-1,.@my_ccu students participate in @students4lifehq chalk for life day! @mikaylemarie
1,"""we should insert ourselves into men’s most private health care decisions, as well"""
1,our #1 most popular post of 2016 - too many of us can relate. can you?
0,i especiallythe weekends when my husband doesn't have to work!
0,@degk10 @kimberlyjoyner_ @joyannreid hope the law will not withstand court challenge. tragic that hillary clinton is not our president
1,happy new year! may your 2017 be full of joy &amp; your own #reprohealth decisions!
0,lower court rules emails stored on microsoft foreign server beyond us warrant; us seeks #scotus review:
0,ok i am dressed and ready to burn down the patriarchy.
0,it's time to change the way #marriage works @goodmenproject
0,retweetwhat grade would u give #cnn who has top news for many years
1,@explicit0ceans I don't either. Why would you want to make people have kids? Esp when they're not prepared? Makes no sense.
-1,as long as no calves died or cows were harmed any cheese is good!
1,teaching #consent starts young.
0,who just interviewed with donald trump about the supreme court opening? (by @davidlat re: )
1,next is #abortionrights reform in ni itself. time to end the injustice. @fawcettsociety actively supporting.
0,govt deciding arbitrarily to exclude some family relationships? no basis for this in #scotus order.
0,website marks 25th anniversary of thomas joining scotus--‘one of our greatest thinkers on the court’
0,honored to meet #bishopkaren oliveto
0,things trump didn’t tell you at #jointaddress: his #scotus nominee believes corporations are people
0,eternal bond: marital lessons from 40 prophetic traditions is a free course. enroll now
0,ruth bader ginsburg: gerrymandering may be most important scotus decision
0,5th cir. has informed counsel that it will hear hernández cross-border shooting case en banc on remand from :
-1,#ProLifeYouth know that human life in the womb is as valuable as human life outside the womb.
-1,this friday at the ad. £5 entry includes 1 drink. £10 entry includes 3 drinks. doors open at 2230
1,tonight! join us for a panel on #reprorights and #womenshealth at @getorgbk's monthly meeting
-1,@senrobportman #hellervoteno vote no... no cuts to medicaid. some americans did not ask to be poor or disabled. they have human rights..
-1,Of mothers advising their daughter's to abort are insane! It's unacceptable!!
1,"in a win for #reprorights, crisis pregnancy centers can no longer lie about potentially offering #abortion services."
1,while @ the same time continuing to ban the most trusted repro health provider from #womenshealth programs &amp; attacking .
-1,"If Doctors used guns to perform abortions, would liberals then be opposed?"
-1,more to come from this great day!
1,#momsdontneed restrictions on #reprorights that can put them at greater risk for
-1,#adoption is an option! thanks @wendys!
-1,"please, #stopkillinganimals for food, fun or clothes! ~"
-1,The government has not been able to point to any improved health outcomes for women
-1,We have the duty to protect the life of an unborn child. --Ronald Reagan
1,this really is a conversation about #broadchurch - apparently the men must be blind because trish doesn't fit the stereotype
-1,like i really need to walk past a bunch of aborted babies to get into the union. get out of my peripheral
0,don't miss the action at #scotus next week as we say #stopexecutions. here's the info. spread the word far &amp; wide!
1,Definitely the #SCOTUS today has landed where women are.
0,. @drmoore explains why religious liberty is essential for our societies.
-1,Why is it illegal to kill an unhatched eagle egg but its legal to kill an unborn human baby?isright
0,So ready for my abortion debate
1,"""adolescent girls need a voice and a choice"" ... including safe abortion!"
-1,wonderful to see scottish students at dc's march for life. we are the
1,#SoProLife they want to force Texans to carry pregnancies that WON'T EVEN PRODUCE LIFE.
0,this is how @potus can appoint #merrickgarland to #scotus today.
-1,$1.7mil in oregon taxes fund abortions each year. help change this: --- #chooselife gen
-1,MT @ProLifePolitics- Senate vote on SC Pain-Capable Unborn Child Protection Act could come as early as Wed. Contact your senators!
0,"not every man is running away from their kids and wife, some run towards them with an open heart."
-1,mt @marylene58: so beautiful and angelic. please .
-1,A prochoice advocate but circumcise ur baby? Fucking hypocrite!
-1,6 inspiring &amp; authentic ways pro-lifers uphold human rights. | |
-1,"She has a brain, a heart, and her own unique DNA, not her mother's. She is alive and human. Please don't kill her."
0,fuck the protesters! ‍
0,".@senatorhassan gets a ""mostly false"" for her ""traditional 60 vote threshold"" claim"
0,why do we need #pride? i chatted with @petertatchell at @iwpride x #lgbt #lovewins @peterdarrant @pridecymru @lgbtplusproud @mattersofpride
1,states are chipping away at #reprorights. here are some of the worst restrictions to watch out for: @huffpostwomen
-1,life is winning because of all of you! @mike_pence
1,".@budweiser this #rapeculture advertising is disgusting, triggering and completely unacceptable. take these down immediately."
0,@bobloeb @tedfrank @joshmblackman @howappealing did you not spring for #scotus premium?!? same search more legible for me.
-1,"@JohnFugelsang I'm not surprised murder is legal in Israel, should be illegal in civilized countries like USA"
0,powerful.. @therealtaraji octaviaspencer @janellemonae
-1,this is why we fight for life!
0,mag 1pm na pala!!! don't forget to watch #pinulotkalangsalupa today at 4:15pm.
-1,"Hi @HillaryClinton while you are campaigning, 3000 innocent lives were killed by your pals"
0,i don’t know if i could preach if i wasn’t married to dave. he continually provides me with sermon material.
1,There's an undeniable inverse correlation between women's right to choose and crime rates
0,breaking: gorsuch is good for corporations but bad for working people—that’s why claire is voting no for :
1,If it's getting old maybe you should stop calling embryos & fetuses babies.
0,i can't say it any better!
-1,"'Cursed be anyone who takes a bribe to shed innocent blood.' And all the people shall say, 'Amen.' Deuteronomy 27:25"
0,austin women's march
1,no one that doesn't have a uterus has any right to have any opinion about #reprorights period!
1,"""dshs admits the amendments have no health benefits and … induced no health problems."""
1,Lmao my school thinks giving women the right to an abortion is against feminism. They don't know feminism
0,the way he looks at you #gay #gaylove #ourgaylove islove wins
0, congratulations to all our friends in germany!! #lovewins #ehefueralle @crunchyroll_de
-1,Our #TruthTour cont' in the @CityOttawa as we show the humanity of the unborn & inhumanity of abortion!
0,"there is no more #lovely, friendly &amp; charming #relationship, communion or company than a good #marriage congratulations to cailin &amp; michael"
-1,@foxandfriends @stringfellowfr4 @kthopkins enough of this is too much- the world has learned that some kind of islam wants people dead.
1,@DaRealMonieLove or these dumb anti-abortion #showthetruth assholes who sit on Canadian streets with inaccurate disturbing pics!
0,@theellenshow you are beautiful just the way you are. i love you!
0,5/16 #womenlead • panels on #women and poverty: restoring a healthy america + #scotus + women and elected office
0,"be happy with those who are happy, and weep with those who weep. romans 12:15"
-1,.@BuhayIpaglaban perhaps you want to go to the fertility clinics & rescue them all. How many can you fit in your womb.
0,#scotus picture says a thousand words.
0,"report: #scotus nom refused 2 even meet w/two senators, both women of color. via @huffpostpol"
-1,"a beautiful piece. well done, sir @joebrolly1993"
0,"#scotus link of the day: @lylden on a hi judge ruling he ""has no power to cut back on the scope"" of travel ban order"
0,don't build your marriage on your feelings that constantly change. build your #marriage on your #faith in allah.
1,"when #reprorights are under attack, what do we do? stand up fight back!"
0,it's my mom and dad's 21st anniversary!!! 28 years of being together.
-1,@kugrl6 good riddance to millions of black babies? I really hope I'm misunderstanding you
0,just remember. mcconnell was able (and willing) to subvert our democracy by stealing a #scotus seat. why use democracy to repeal obamacare?
1,a dad laughing about his boy toddler looking up random women's skirts. his wife and her friends think it's funny. is this ?
-1,"you have to live with that murder I am speechless with rage , hurt and complete disgust.Finding it V.hard to hold my tongue here"
0,our individual thoughts shape our #collective world. be a good steward of yours. xol
1,(thread) #theresistance #reprorights progressives move forward. don't let anyone move #womensrights back.
-1,you only have 1 hour &amp; 15 mins left to vote in the
1,#republican men think it's the government's job to make doctors withhold medical information from women.
-1,"mt @amenditusa: new mood,new plan. let america decide!"
0,did a thing yesterday. #wedding #selfish #marriage #ihaveahusband #itssuperweird @ bellevue…
-1,"do your job, #media cover the #marchforlife in washington on friday!"
0,"this day in history, june 29, 2009 #scotus ruled new haven firefighters were unfairly denied promotions because of race"
1,week 1 under president trump: @housegop is pushing a bill to take away reproductive healthcare for millions &amp; undermine women’s
-1, bravo!! there are other options for young mothers than .
0,"remember that it's all about hearts, not parts."
-1,i defend the life of the #preborn because they are people as much as any of us already born.
0,as trump's white nationalist policies collide with the us constitution - who will stand up for the rule of law? @gop? @senschumer? ?
0,[call begins in 10 mins] courthouse steps: hernandez v. mesa decided
0,red-state democrats cheer for judge gorsuch at trump's joint address
0,Monk's Hobbit is back in Twitter.
-1,"#Hillary, Here's one Christian whose religion views will never ""adapt"" to include abortion. Abortion is murder."
-1,it's true. a friend can save a life!
1,.@trappeddoc is a must-see for anyone who cares about the erosion of
-1,"@lewisjj99 good to see you back training buddy, good luck"
-1,catholic university students march as witnesses to life at
1,hello #prochoicebrum! come find us to learn more about work of @ldnirisharc and #abortionrights in ireland and northern ireland.
-1,"@toby_dorena Any pregnancy can turn deadly at any time, without warning. I can't force that on someone."
1,"""the judge said it was to his credit that he declined his friend’s offer to also rape her."" what a guy."
-1,would ewen bremner and robert carlyle choose the 1990s or 2010s? watch their quickfire quiz with @minniesteph5
1,the story of this woman's self-induced #abortion &amp; death is so relevant in this #trump era.
-1,#life giving democracy in action from the #prolifegen because #itsnot1899 and we believe in #realchoice #qldpol @timnichollsmp
-1,"thank you, @vp!"
-1,dog meat is a delicacy in some places. pig meat in others. no meat is necessary for human health or survival.
-1,when grace told sienna to #chooselife in #hollyoaks i wanted her 2 give it the full #trainspotting speech!!
1,it's clear our new administration doesn't value women. @vp we will never forget &amp; stop fighting for
1,support @ppact.
1,great to see the #citizensassembly being more sensible than our government
1,sexual violence is real. every time we make a sexist comment or blame the victim we are contributing to
0,"if you're still on the fence about getting married, #makeyourmove this month and trust in god's support for completing your faith."
-1,mt @amenditusa: we the people end abortion america!
-1,gallup: 49% of americans say abortion is morally wrong. @gallup
1,"today, ny'ers in albany stood up for #reprorights &amp; !"
0,"#marriage advice from a seasoned veteran: if you wife is sitting on the kitchen floor, eating ice cream out of the carton, just walk away."
1,a great piece by @katrinanation about our interests being ignored + attacked:
-1,"""i regret my abortion."" her sign speaks the loudest. can we make it even louder."
0,@shaniaajaee I still love you no matter who you love
-1,absolutely. i gladly join #virginia mourning lives lost to abortion.
0,"hello, today marks a full year since i came out of the closet (aka best day in my life) and i'm proud to say that i'm 100% happier"
0,@madisonfletch_ but it's ok. at least it's only yo your hand that smells like dick
0,"keep this in mind: in the best marriages, the romantic chase is never really over."
1,"phrases like ""rape oval"", ""slut juice"" and ""slut alley"" is evidence #rapeculture exists."
1,"#icymi: i spoke out against hr7 yesterday, an unprecedented attack by the @housegop on women's ."
0,"we need a justice with a proven track record who will uphold the constitution, support religious freedoms, &amp; defend life."
1,"It's not #yourbody, so it's not your #choice.youthgen"
-1,"if theres a heartbeat, theres life. national"
1,is this different from what you thought the culture conversation was about?
-1,@maryannehobbs disrupting my little boys homework sometimes you just have to stop and dance
-1,"Why do people think it's ok to get an abortion... What the fuck is wrong with you? What if your mom aborted you, you sick fuck!"
0,this boymom thought she had life by the tail!
-1,mt @patrioticgirl86: keep me safe lord from the hands of the wicked.
1,"#srhr are directly linked to economic rights, independence &amp; empowerment of women &amp; girls"
0,"otd 1981— president reagan announced the #scotus nomination of sandra day o'connor, the court's 1st female justice."
0,"federal judge rejects #hawaii bid to exempt grandparents from @potus temporary #travelban, says state can ask #scotus to clarify its ruling."
0,Why do we think we can outsmart #satan when he has been at it for over thousands of years?
0,"live at 4 pm et on our facebook page, @adamliptak moderates a panel about neil gorsuch's nomination to :"
0,love and weddings are the order of the day!
1,"#wth surprising, no! #idiot #whiteprivilege promoting culture in #america treat women as property not people!"
-1,mt @politicsiswar: for convenience...
-1,"In 1776 we killed the conservatives, freed ourselves from that crap ."
0,by choosing a good #spouse you will be rearing your #children well before their birth.
-1,"mt @amenditusa: new mood,new plan. let america decide!"
0,heroes like raumak and ellie are here providing legal counsel to families waiting for loved ones.
1,seen at the #womensmarch today. a powerful day of solidarity as we march &amp; fight to end violence against women
0,RT @modernwerewolf: Why doesn't anyone congratulate me for NOT getting knocked up? Throw me a damn shower
-1,@prolife_wife Yup. The women in the womb are as precious as those who are outside of it.
0,"Took God, discipline & tobacco out, made ^airtight & filled homes w/^CO2 cuz of energy & climate lies. Evil & energy use soared."
0,tickets selling for @apolloiw pride arts week!come and see one of these amazing performances!bargain prices for under 18's
-1,@FaceTheNation @nytimes where is #SilencedDiscourse for @TheDemocrats #Divisions on
0,"plans for july 4th? yes, we do! join us for the exclusive #lovewins party next week! tabbuli is the only place to..."
0,#scotus just handed trump a big win on his travel ban via @personalliberty
1,“there’s no health care reason” behind #txlege senate bill 8. #sb8 is cruel and unnecessary.
0,@norwichpride #lollardspit ‍happy pride ‍ open till 2am - disco - bbq - free jd samples - ice cream -
-1,one unplanned pregnancy saved us all
0,SCOTUS has caused more repression and racism in this nation that any other group of people in America.
1,@sueperkins this makes me feel sick &amp; so angry. what about #lgbtq #abortionrights #nipeaceprocess £1bn should've gone to @nhs
0,"when nikah becomes expensive, zina becomes cheap. keep weddings as simple and affordable as possible."
1,"always inspired to hear &amp; see 1 of my heroes, @cecilerichards, talk about the #urgencyofnow @ppact @ppadvocatespa"
0,one of the reasons why good parenting is so important. isviral
0,"""have courage to trust love."" initiation #asmsg #lovewins @bellaswannbooks"
0,"sessions railing politicization of judicial system as short-sighted, after blocking #scotus nom for over a year, is laughable"
0,"so, in other words,we have 2 classes of ppl in america re: military ser transgender &amp; everyone else........ strict scrutiny anyone?"
1,today we remember the fight for #reprorights #racialjustice and #envirojustice in 2016 and resolve to continue the fight in 2017
1,"#womenwearwhite to honor american woman suffragists at #jointsession as a pledge to fight for #equalpay, #reprorights, etc. |"
-1,"#ProLifeYouth have no chill, and we're dang proud of it. Human rights injustices should never be treated lightly."
1,"@politico_45 commenters: your insistence on use of ""pro-life"" (the pc term, i gather?) is misguided. what you are, in truth, is anti-women."
1,@mattwalshblog a better question: why do you assume dinner with opposite sex will lead to sex???
-1,mt @humancoalition: i chose not to view your life as optional.
0,"(3/3) So when @AUL tells you MLK was #prolife, they're lying. (Their gullible followers r likely just misinformed)."
-1,"we agree, and so does the @ctrmedprogresss."
1,this's insane acts by #koreans. they will trample national flag of other nation. it's clearly .
0,@vandergraafly Keep up the good work! They are nutters
0,"since #scotus struck down key protections in the vra, it’s critical the ag is a strong advocate for securing every american’s right to vote"
0,"whoever @realdonaldtrump chooses for #scotus tomorrow, he will be a hard-right conservative. @thedailybeast"
-1,@bethanyshondark do you mean Bristol? She was just being honest about her feelings - many can relate - hope they choose life too!
0,my favorite kind of pastor is a pastor in rainbow sneakers ‍
1,this #tweet by #neilgaiman about my article still makes me #happy. totally worth getting kicked out of my band for.
0,@marcmaron @amyschumer @JuddApatow Are you a triceratops or tricerabottom?
1,"if i were jesus, i would ask: how can you say you care about #life when you treat the living so poor."
1,What about in cases of rape
0,".@realdonaldtrump's greatest revenge on msm will be winning reelection, 7-2 #scotus, a border wall &amp; economy growing at 4%. @nedryun"
0,.@presssec spicer reading his monotone #scotus bedtime story report each day is so weird.
0,how far does us 4th amendment protect electronic privacy of people in digital age? key commsact cases up b4
0,"spoke with @nbcnews with @lambdalegal's greg nevins about #scotus, title vii &amp; lgbt workers' rights. @chicagokentlaw"
0, ‍‍ ‍‍ ‍ happy pride everyone! ‍ ‍‍ ‍‍ +
1,Do you know anything about the right of bodily autonomy? Describe it then if you don't think the fetus takes it away from her
1,news and analysis from sky news radio
0,#cogar @RefCom_ie get more #questions on #d #ballott! #ireland's #dail is stuck. We'll ! .
-1,@helenantanova Turning it into a racial thing kek
1,"“no matter how you spin the numbers, this is what college women want: access &amp; choice” @katherinemirani"
-1,I am 1 in 3... I have had an abortion
0,really looking forward to seeing #the34th @gazefilmfest @noelsutton @roisingeraghty @accenture_irl @peterjlynch86 @pjbarry
-1,Happy July 4th- freedom day! Let liberty ring out!
1,#reprorights activists will hold @sendeanheller to his word on :
0,"bouncer on the dance floor: is this guy bothering you? me: well, he's my husband... so yes"
-1,#BlackLivesMatter unless they are pre born black lives then they don't matter
-1,flashback to this week in 2013 with #lifechangers @catelynnlowell &amp; @tylerbaltierra speaking up for life!
-1,talking about living this life through the holy spirit in which i would simply die without.
0,"in other news, sentencing is about to start for five people arrested for protesting at #scotus in 2015. gov't wants jail time (10 days)"
0,"how do we make it work &amp; stay content? this free booklet has the answers ""muslim #marriage booklet"""
0,voices from the women's march #wewontgoaway #lovewins a film by @emmahollyjones
-1,this faith-based news outlet interviewed us at the @march_for_life. check it out:
-1,brave and inspiring mom with cancer refuses abortion and gives birth to healthy twins
-1,@notmuchelse Giving birth is not pushing women toward death.
0,"typical #marriage conversation her: i don't mind what we eat, you choose! him: how about *insert any cuisine* her: no, not that!"
0,off to catalina island with this babe @rockypmma
0,anyone have great #marriage advice? leave a comment &amp; connect with me on insta for my virtual wedding book:
-1,#t2trainspotting my kind of film
0,"@CandiesOrg Oops she did it again Bristol is PREGNANT. Candies is a waste. U paid her 400,000 for WHAT? PPL Send ur $ to"
0,How can a kingdom founded in violence long control the vice that brought it n2 existence? <-- commentary on Judges9 @BarackObama
-1,what!?? #vatican statement on baby condemned to die is frightening
0,he's going to keep our #scotus busy and seriously test our constitution. our democracy is under attack.
0,convention of states can overturn the supreme court and stop federal agencies like the epa from making laws:
0,"@kingstonpolice @ShowTruth ""Freedom of Expression? Does that mean that I can display pornography in public if I am against it?"
0,turn the page on your unhappy #marriage.there is a light at the end of the tunnel with course ‘strengthen the knot’
0,my #newplay #sovereignty about #cherokeenation's victory in #scotus and #andrewjackson's trail of tears is in @arenastage's 2017/18 season!
1,"no one is so good at anything, even sport, that they get a free pass on rape. no one."
-1,win this war_revoke license to kill!
0,"@CoraSherlock @NORTHANNE @fdelond you Cora ignore that IRE export the 'problem',to UK @MarieStopes"
0,"performing on the ""world on one stage"" shortly! shake your rainbows for @liverpoolpride"
-1,"People go nuts on the #Onepercent, yet their fine with 0.0000023% of the population deciding their fate on , ,"
1,"health is health is health, whether it's mental or physical. there should be no distinction"
0,#lovewins everywhere let’s keep fighting for a planet where you can love without shame.
0,"love may not be found where you want it, but it will be where you need it."
-1,@ProWomanChoice @laurawrpie @JaxLeSigh both r #human. 1e u abuse with misinformation (#women) n d other u kill by
-1,#nfl player @benjaminswatson tells men to stand up for women at
0,.@senschumer's view of his constitutional responsibility changes with every elected president.
-1,@TheReadClub He who wears the shoes knows where it hurts but I'm Pro-life.
0,i can't support a #scotus nom who refuses to give background about his judicial philosophy – during his own hearing
0,weed weddings no longer a pipe dream for cannabis connoisseurs
0,#scotus link of the day: @jordan_s_rubin looks at last term's criminal cases
0,3 years ago today i came out; it's easily the best decision i've made in life. i'm much happier &amp; haven't looked back a day since
0,the 14th amendment's privileges or immunities clause and how supreme court wrote it out of the constitution
-1,Good reminder that over 57 million children have never been granted the opportunity to share the air we breath.
-1,"""i was 19, jobless, unmarried, &amp; told my baby had a birth defect. i chose #life"" @ashleybufe"
-1,mt @politicsiswar: for convenience...
-1,RT @GuyForChrist: God is the author of life and nobody has the right to take it.
0,the simplest definitions are the best...
1,I can't stand people who are pro life because they had a stillborn or loss....
0,date night! remember to always make time for yourselves.
-1,thank you @refinery29 for covering this story - an absolute must-read.
0,"tuesday: president trump supreme court nominee announcement - live at 8pm et on c-span2, @cspanradio &amp;"
-1,"@saadoescatholic: #Americans have the right to #life #liberty and the #pursuitofhappiness, so why dont #unborn Americans?"
1,hey #womensmarch marchers? are you paying attention to this?
-1,"When Declaration of Independence was adopted, abortion was illegal in all 13 colonies."
0,let's start w/ fact that you are 100% wrong according to :
0,judge gorsuch's #scotus nomination is a step backward for working families. call your senators on 4/4
0,public @dellemc_de goes #marriage - great kickoff by @timvanwasen and @dalschner - and some fun!
-1,#populationcontrol = controlling the incoming generations. that's why there's .
0,"no matter who you are, you deserve equality &amp; love &amp; safety!! congratulations germany &amp; all the lgbtq germans!"
-1,we are only a few weeks away now from #t2trainspotting #chooselife @irvinewelsh
0,"""our will to kill leaves us unable to turn to god"" -walter wink -- join us monday and tuesday at #scotus. let's end the death penalty!--"
-1,"adopted at birth, 10-year-old boy already giving back to local pro-life effort:"
1,access to #safeabortion is a #women's right
0,hiking adventures.
0,one of the greatest defenders of the #constitution ever to have a seat on the supreme court! rt if you agree!
0,here we go #2017. 22 years and counting
0,"it’s important to smile and have fun, it's infectious. smile at someone today"
-1,@exwhuemployee can we get retweet for all belgian irons who are forced to drink beer from 8. and we got carroll on the coach
-1,"@MikeDury And don't forget, now ""Private clubs"" and organizations. AKA ~> &"
1,abhorrent coverage by @stjohnstelegram drunk people can't #consent to #sex; this is propagating #rapeculture &amp; #victimblaming @rnc_policenl
0,the rubber will hit road when #potustrump nominates his choice to replace #scalia on #scotus &amp; #plannedparenthood $ &amp; #roevwade are at risk.
0,On my way to Sweden! @LETAccess
-1,"#SignsYoureInTheUSA Doc can pull baby 3/4 way out of the womb, stick a knife in its head 2 kill the child & @SCOTUS says its OK"
0,"""marriage today is no mystery really. it's very simple. #marriage is work and nobody wants to work."" divorce american style (1967)"
1,"we oppose #trumpcare because healthcare is a human right, not an accessory."
0,welcome to 2017
-1,"today is another good opportunity to make the decision to renounce sin, accept jesus into your life. choose life today"
1,gotv! it's lit (like ralph's record of fighting for #reprorights and access) ‍
0,"on 40th anniversary of the 1st execution in the modern era, join activists to protest the #deathpenalty at :"
0,does eric dreiband's name sound familiar? he rep'd abercrombie&amp;fitch @ #scotus 2 yrs ago. a&amp;f was sued for refusing to hire a muslim woman.
-1,i had a shite covered naked arse in touching distance. #chooselife choose #trainspottinglive #micf17 @sometimesmelb
-1,go autumn! she just gave a great workshop at @creationfest on being a pro-life teen and how to become a pro-life activist
-1,do you believe life is worth living in every stage? join our team!
-1,@BuhayIpaglaban Bullshit multiplied by bullshit is still bullshit.
-1,I love how #liberals only accuse #conservatives of war on women when we don't want to fund
-1,@ProWomanChoice @BuhayIpaglaban people like you are exactly what is wrong with our society.
0,president trumps signs executive actions on #keystonepipline and #dakotapipeline. also says he'll announce #scotus nominee next week.
-1,"@umich Unjustified homicide should ALWAYS be illegal, including"
-1,"""don't let numbers define you despite a scale, or checking account, #chooselife just focused on one thing to be active, healthy and happy."""
0,i could tell justice alito loved my lego judge cufflinks b/c he smiled politely as he signaled for security.
0,i put a on her @pneves3333 all mine!!!
0,"continue calling/emailing your senators to oppose the confirmation of #scotus nominee, neil :"
0,12 years of marriage! so grateful to get to live life with this guy.
0,@ShowTruth You're truly unwelcome here. Please leave.
0,"congratulations, #malta, on passing the freedom to marry for same-sex couples! !"
-1,i am disappointed in today's veto of the #chooselife license plate. the voluntary contributions wld have supported many michigan families.
0,"the travel ban is officially in effect. upheld by the #scotus .so what is hawaii ( highest homeless population) doing? yep,"
0,a handsome guy &amp; a pretty girl will make a beautiful wedding; but a faithful #man &amp;a pious #woman will make a beautiful .
-1,@djred678 : My views are my own. #AllLivesMatter #PrebornLivesMatter #AbortionIsViolence #Whyi'mNotVotingForHillary
-1,congratulations @students4lifehq on 10 years of building the #prolife generation &amp; saving lives!
0,must-see tv tomorrow night for #scotus watchers.
-1,"RT @createdequalorg: NEW video: ""I'm not seeing it as a human being."" @StandTrue @liveaction_news @collegefix @LifeSite ..."
-1,been a long day after an even longer night! had a great #bathlifeawards - such an awesome event to be involved with
-1,"Not sure where I stand on God and religion. Still, don't need to be a Christian or religious to be against abortion."
0,#elb: breaking: #scotus halts nc special elections ordered after finding of racial gerrymandering
0,Woe to those who call evil good & good evil. Isaiah 5:20
-1,meet the #prolife group cracking #plannedparenthood’s favorite market by @tgc @brianefisher
-1,"Because as long as we're ending innocent lives, love has won nothing."
0,tea party activists tell liberal new york sen. chuck schumer to vote to
0,everyone needs &amp; deserves someone.
1,"it's this kind of sexist and patriarchal mentality that underlies and perpetuates mistreatment, abuse &amp; ."
0,and so it begins. next four years will be testing but we all stand with incredible people like @glaad fighting for equality
0,"yes! people matter so much more than the issues. this is another human i'm talking to, not just words on a screen."
0,"#summary of what #tradcons what #men to experience, for the sake of ""society""."
1,"since they’ll likely never answer you, the answer is no"
1,interested in #reprorights #reprojustice in ireland? and living in/near london? get involved in @ldnirisharc loads to do with great people!
-1,"priests for life youth director, bryan kemper speaking at staten island youth fest 2017"
-1,mt @patrioticgirl86: one day.... you will wish you had me
1,are you arguing that it's ok the president assaulted women or that casey affleck isn't that bad in comparison? either is yikes.
0,"by the way, if you're wondering what 300+ #scotus arguments does to a person, this is an actual photo of walter jones. (not kidding!)"
0,super charge your #marriage and protect your legacy! (4.9amazon reviews) order today!
1,what we can learn fr 1980s #prochoice organizers who fought to protect #reprorights under reagan
-1,the #prolifegen is what they are today because of @students4lifehq. grateful for your dedication to life!
-1,rt if you support #personhood for the .
0,"meanwhile, hawaii has responded to doj's request at #scotus to reverse the narrowed #travelban injunction ruling."
0,"@seanhannity definitely, the appointment of #justicegorsuch to #scotus! so thankful!"
0,the world is on fire #gtaonline #gtav #gtaphotographers #tmgt @gta_society @gtasnapmatichub @gtasnapmatic
0,#ourtimeisnow help us stand w/ @realdonaldtrump to put a pro-#2a majority on #scotus &amp;
1,what a rousing night w/ #reprorights activists standing strong for repro freedom &amp; health care for all. proud to .
1,@senatemajldr @senategop and the lack of diversity in this group is still a huge problem!
1,People aren't 'pro-life' they're 'pro-birth'. When a mother can't provide what happens then?
-1,"""this is the first time a vice president of the united states will attend."" |"
1,"things women are not like, an incomplete list: 1) a plate of red meat 2) an unlocked car 3) a parent being nagged for ice cream"
0,"'what are you doing with those planes?' says the wife, implying they need tidying away. 'invading france' i say ..."
0,it really is okay to be a butthole wife sometimes...
0,yes. because we will make sure #lovewins despite it all rt 6
-1,"mt @amenditusa: new mood,new plan. let america decide!"
-1,did you spot our edinburgh store in the new @t2trainspotting film?
0,"50 years since being gay was made partially legal! to all the #lgbt people who came &amp; fought so that i could be myself, thankyou!"
0,"chief justice roberts realizes he has a conflict, drops out of patent case."
-1,I had a word with some of the antiabortion protestors. Calmer after buying bi pride colour yarn for a friend & I. Haberdashery <3
-1,@JimDDaniels1 Plenty of reasons for Christians not to support Hillary. Not the least of which in my mind is her stand (w/Dems) on
-1,a 25-year-old woman who was not expected to survive speaks out on her mother’s refusal to abort her.
1,i aggressively worked to ensure pregnancy centers inform women of their #reprorights &amp; proudly #standwithpp #losangeles city atty mike feuer
0,@heykeifer @ciciadams_ you love white boys from queens? awesome!
0,"mcconnell shocked, shocked that democrats might block trump #scotus nominee"
0,"come on guys at #bundestag, it’s 2017! love doesn’t care about gender!"
-1,"can someone explain to me how killing helpless babies is ""womens' healthcare?"""
0,graceway prayer meeting at #scotus was amazing. praying with these great men.
1,"tolerating a ""#rapeculture"" to sustain a politically correct stance on mass migration"
-1,parental rights in the u.s. — could the charlie gard case happen here?
0,great news! #scotus has declined to hear an appeal by texas seeking to revive the state's strict voter id law.
-1,"life is full of choices, but your ability to choose should not interfere with my existence."
-1,prayers for everyone at the march for life my wish is that one day the world will respect and appreciate all life
0,"breaking— #scotus refuses to hear the texas #voterid case . . . for now. the case may return to the high court, says chief justice."
-1,"When you abort a baby, you don't just abort one person ...you abort generations."
1,"@ProLifeLiberty Yes, your reasoning is horrible. We were talking about abortion, not death."
0,#lovewins #lovetrumpshate rt @simplymarcoo: #mlkday i have decided to stick with love. hate is too great a burden to bear.
-1,press secretary nicole &amp; former sba intern aidan are ready to #sockit2pp! @students4lifehq
0,today's arguments before #scotus re: right of #disabled children to free appropriate public education
0,"• #scotus frequently agrees w/ @alliancedefends (5wins/7yrs) • adf #winning ~80% overall • @abcnews concludes, ""hate group."" 🤦‍"
0,relationships flourish when ur partner feels understood.
0,What the leftists are doing is putting all Americans in danger!
-1,"planned barrenhood , not planned parenthood!! the preborn are human, and abortion is violence- it's science!"
1,"@ShowTruth Keeping pregnant people safe is a great reason for abortion, though."
0,"""love wins"" is now uploaded to watch and share with friends!"
-1,We are the #prolifegen and we will abolish abortion in our lifetime!
0,"doc: john, we think you have a phobia of #marriage. do you know what the symptoms are? john: can't say i do. doc: that's one of them, yes."
-1,"@explicit0ceans whoa whoa whoa. I don't care about you having sex, but when you're pregnant, there's another life involved."
-1,"Size,Level of development, Environment,Degree of dependency do not affect a human's value. . A fetus is a human being"
